,lrd
0,18.07834223306622
1,21.80572542399647
2,28.36337298774992
3,21.80572542399647
4,28.36337298774992
5,21.321669836695698
6,21.80572542399647
7,21.321669836695698
8,18.07834223306622
9,18.07834223306622
10,28.36337298774992
11,24.195632055322257
12,21.80572542399647
13,21.321669836695698
14,18.07834223306622
15,21.321669836695698
16,18.07834223306622
17,21.321669836695698
18,18.07834223306622
19,138.88888888888889
20,53.87931034482757
21,21.321669836695698
22,18.07834223306622
23,18.07834223306622
24,18.07834223306622
25,28.36337298774992
26,28.36337298774992
27,27.081879873647146
28,21.321669836695698
29,18.07834223306622
30,106.11205432937183
31,38.82650126456086
32,21.321669836695698
33,18.07834223306622
34,46.672792302194864
35,28.36337298774992
36,38.82650126456086
37,21.321669836695698
38,18.07834223306622
39,18.07834223306622
40,23.67424242424241
41,53.87931034482757
42,24.476773190577656
43,23.67424242424241
44,53.87931034482757
45,21.321669836695698
46,9.32269490600822
47,15.75309040298551
48,18.07834223306622
49,18.07834223306622
50,18.07834223306622
51,21.321669836695698
52,18.07834223306622
53,18.07834223306622
54,21.805725405481464
55,1.9308719188171848
56,3.1281281281281283
57,53.87931034482757
58,38.82650126456086
59,28.36337298774992
60,3.731476540284094
61,18.07834223306622
62,21.321669836695698
63,18.07834223306622
64,21.80572542399647
65,28.36337294700385
66,51.105783338318034
67,28.36337298774992
68,21.321669836695698
69,21.80572542399647
70,28.36337294700385
71,48.20236338962626
72,27.498067140580478
73,28.36337298774992
74,20.946680242369396
75,18.07834223306622
76,18.07834223306622
77,18.07834223306622
78,28.36337298774992
79,45.90112667557874
80,21.321669836695698
81,18.07834223306622
82,21.80572542399647
83,21.321669836695698
84,18.07834223306622
85,21.321669836695698
86,18.07834223306622
87,28.81311822830916
88,27.081879873647146
89,32.89473684210527
90,53.87931034482757
91,24.845323953453452
92,18.07834223306622
93,18.581993177205376
94,26.57755513208923
95,18.07834223306622
96,18.07834223306622
97,18.07834223306622
98,21.80572542399647
99,21.321669836695698
100,27.71663121725879
101,57.87037037037037
102,18.07834223306622
103,18.07834223306622
104,27.71663121725879
105,28.36337298774992
106,28.81311822830916
107,21.321669836695698
108,18.07834223306622
109,21.80572542399647
110,21.321669836695698
111,18.07834223306622
112,18.07834223306622
113,18.07834223306622
114,18.07834223306622
115,18.07834223306622
116,26.57755513208923
117,18.07834223306622
118,18.07834223306622
119,18.07834223306622
120,21.321669836695698
121,18.07834223306622
122,28.36337298774992
123,21.321669836695698
124,18.07834223306622
125,18.07834223306622
126,18.07834223306622
127,21.321669836695698
128,18.07834223306622
129,17.796131231036224
130,18.07834223306622
131,18.07834223306622
132,23.67424242424241
133,24.845323953453452
134,18.07834223306622
135,21.80572542399647
136,28.36337298774992
137,28.36337298774992
