,throughput,new_flow,new_flow_normalized
238,0.02368,0.2,0.0178571429
239,0.01184,0,0
240,0,0.4,0.0357142857
241,0.02176,0,0
242,0,0,0
243,0,0,0
244,0.01184,0.6,0.0535714286
245,0.0336,0.6,0.0535714286
246,0.01184,0.6,0.0535714286
247,0.03552,0.6,0.0535714286
248,0.02368,0,0
249,0,0.4,0.0357142857
250,0.02176,0.4,0.0357142857
251,0.02368,0.2,0.0178571429
252,0.00992,0.2,0.0178571429
253,0.01184,0.2,0.0178571429
254,0.00992,0,0
255,0,0,0
256,0,0,0
257,0.01184,1,0.0892857143
258,0.05216,0.2,0.0178571429
259,0.00992,2,0.1785714286
260,0.11712,2,0.1785714286
261,0.01184,0.2,0.0178571429
262,0,0.4,0.0357142857
263,0.02368,0.6,0.0535714286
264,0.03424,2.4,0.2142857143
265,0.13824,2.4,0.2142857143
266,0.03552,0,0
267,0,0,0
268,0.02176,0,0
269,0,0,0
270,0,0.2,0.0178571429
271,0.00992,0.2,0.0178571429
272,0.02176,1,0.0892857143
273,0.05408,0,0
274,0,0.2,0.0178571429
275,0.00992,0.4,0.0357142857
276,0.01984,0.4,0.0357142857
277,0.03136,1.2,0.1071428571
278,0.07104,1.2,0.1071428571
279,0.01184,1.4,0.125
280,0.06944,0,0
281,0,0,0
282,0,0,0
283,0.01184,0.2,0.0178571429
284,0.01056,0,0
285,0,0,0
286,0.01184,0.2,0.0178571429
287,0.01184,0,0
288,0,0.2,0.0178571429
289,0.01184,1,0.0892857143
290,0.05536,1,0.0892857143
291,0.01248,0.4,0.0357142857
292,0.02176,0.2,0.0178571429
293,0.00992,0.2,0.0178571429
294,0.01184,0.2,0.0178571429
295,0.136,2.6,0.2321428571
296,0.13344,2.6,0.2321428571
297,0.00992,0.2,0.0178571429
298,0,0.4,0.0357142857
299,0.02176,0,0
300,0,0,0
301,0,0,0
302,0.01184,0.2,0.0178571429
303,0.00992,0.2,0.0178571429
304,0.00992,0.6,0.0535714286
305,0.03552,1.2,0.1071428571
306,0.06912,1.2,0.1071428571
307,0.10112,1.8,0.1607142857
308,0.09504,1,0.0892857143
309,0.0592,0.4,0.0357142857
310,0.02368,0.4,0.0357142857
311,0.02368,0,0
312,0,0,0
313,0,0,0
314,0.01184,0.2,0.0178571429
315,0.01184,0,0
316,0,1.2,0.1071428571
317,0.06656,1.2,0.1071428571
318,0.02112,0.2,0.0178571429
319,0.01184,0,0
320,0,0,0
321,0,0,0
322,0,0,0
323,0.01184,0.2,0.0178571429
324,0.01184,0.2,0.0178571429
325,0.01184,0.2,0.0178571429
326,0.00992,0.2,0.0178571429
327,0.05952,1.2,0.1071428571
328,0,1,0.0892857143
329,0.05344,0.6,0.0535714286
330,0.03552,0.6,0.0535714286
331,0.02368,0.4,0.0357142857
332,0.0672,0.6,0.0535714286
333,0.03424,0.6,0.0535714286
334,0.01184,0.2,0.0178571429
335,0,0,0
336,0,0,0
337,0,0,0
338,0,0.4,0.0357142857
339,0.02368,0,0
340,0,0,0
341,0.06336,0.2,0.0178571429
342,0.01184,0.2,0.0178571429
343,0.06336,1.4,0.125
344,0.08288,0.6,0.0535714286
345,0.03552,0,0
346,0,0,0
347,0.01184,0,0
348,0,0,0
349,0,0,0
350,0.02368,0,0
351,0,0,0
352,0.01184,0,0
353,0,0,0
354,0.02368,1,0.0892857143
355,0.05408,0,0
356,0,0.2,0.0178571429
357,0.01184,0.2,0.0178571429
358,0.01184,0.2,0.0178571429
359,0.01184,0,0
360,0,0,0
361,0.01184,0.4,0.0357142857
362,0.02368,0.4,0.0357142857
363,0.02368,0.6,0.0535714286
364,0.0368,0.6,0.0535714286
365,0.02432,0.4,0.0357142857
366,0,0.4,0.0357142857
367,0.02368,0.4,0.0357142857
368,0.02144,0.4,0.0357142857
369,0.02368,0.4,0.0357142857
370,0.02368,0,0
371,0,0,0
372,0.01184,0.2,0.0178571429
373,0,0.4,0.0357142857
374,0.02368,0.4,0.0357142857
375,0.01184,0.2,0.0178571429
376,0.08448,0.6,0.0535714286
377,0.03552,0.6,0.0535714286
378,0.01184,2.6,0.2321428571
379,0.1424,0.2,0.0178571429
380,0.01184,0.2,0.0178571429
381,0.01984,0.4,0.0357142857
382,0.02368,1,0.0892857143
383,0.0496,1.4,0.125
384,0.07584,0.2,0.0178571429
385,0.01184,1.2,0.1071428571
386,0.06592,1.6,0.1428571429
387,0.09216,1.6,0.1428571429
388,0.02176,0.2,0.0178571429
389,0.01184,1.2,0.1071428571
390,0.06336,2.6,0.2321428571
391,0.13856,1.8,0.1607142857
392,0.09312,1.8,0.1607142857
393,0.02368,0.4,0.0357142857
394,0.02368,0.4,0.0357142857
395,0.06336,0.4,0.0357142857
396,0.02368,3,0.2678571429
397,0.15904,1.4,0.125
398,0.08224,1.8,0.1607142857
399,0.09568,1.8,0.1607142857
400,0.08288,0.8,0.0714285714
401,0.04736,0.8,0.0714285714
402,0.03552,1.2,0.1071428571
403,0.07104,1.2,0.1071428571
404,0.13024,1.2,0.1071428571
405,0.06336,1.2,0.1071428571
406,0.05344,0,0
407,0,2.2,0.1964285714
408,0.1232,2.2,0.1964285714
409,0.05664,0.2,0.0178571429
410,0.01184,0,0
411,0,1.4,0.125
412,0.08096,7.2,0.6428571429
413,0.41408,1.6,0.1428571429
414,0.09216,1.6,0.1428571429
415,0.12128,2.2,0.1964285714
416,0.10656,7.2,0.6428571429
417,0.41088,7.2,0.6428571429
418,0.03552,0.2,0.0178571429
419,0.01184,0.2,0.0178571429
420,0.00992,1.6,0.1428571429
421,0.09472,0.6,0.0535714286
422,0.03552,1.4,0.125
423,0.0816,1.4,0.125
424,0.05728,0.6,0.0535714286
425,0.0336,0.6,0.0535714286
426,0.00992,0.2,0.0178571429
427,0.0528,1.6,0.1428571429
428,0.08384,1.6,0.1428571429
429,0.01056,0.8,0.0714285714
430,0.0416,0.8,0.0714285714
431,0.01056,1.4,0.125
432,0.07328,1.4,0.125
433,0.02176,1,0.0892857143
434,0.0496,1,0.0892857143
435,0.01184,1.8,0.1607142857
436,0.09696,1.8,0.1607142857
437,0.02176,0.4,0.0357142857
438,0.0224,0,0
439,0,1.4,0.125
440,0.07904,1.4,0.125
441,0,1.4,0.125
442,0.07712,0,0
443,0,0,0
444,0.02432,0.2,0.0178571429
445,0.00992,0.2,0.0178571429
446,0.01184,0.4,0.0357142857
447,0.02368,1.4,0.125
448,0.07904,1.2,0.1071428571
449,0.05952,1.2,0.1071428571
450,0.04736,2,0.1785714286
451,0.10816,0,0
452,0,0,0
453,0,0,0
454,0,0.2,0.0178571429
455,0.0096,0.4,0.0357142857
456,0.02368,0.6,0.0535714286
457,0.03552,1.6,0.1428571429
458,0.096,0,0
459,0,0,0
460,0,0,0
461,0.04736,0.2,0.0178571429
462,0.01184,1.6,0.1428571429
463,0.09728,1.6,0.1428571429
464,0.02432,0,0
465,0,0,0
466,0.01184,0.4,0.0357142857
467,0.02176,0.4,0.0357142857
468,0.00992,0,0
469,0,0,0
470,0.01184,0.2,0.0178571429
471,0.01248,0,0
472,0,2.2,0.1964285714
473,0.12,2.2,0.1964285714
474,0.03552,0.2,0.0178571429
475,0.00992,0.2,0.0178571429
476,0.01184,0.2,0.0178571429
