,throughput,new_flow
0,0.0,0.0
1,0.0,0.2
2,0.01184,0.2
3,0.0,0.2
4,0.01184,0.2
5,0.01184,0.0
6,0.0,0.2
7,0.01184,0.0
8,0.0,0.0
9,0.0,0.0
10,0.01184,0.2
11,0.02144,0.0
12,0.0,0.2
13,0.01184,0.0
14,0.0,0.0
15,0.01184,0.0
16,0.0,0.0
17,0.01184,0.0
18,0.0,0.0
19,0.04224,0.4
20,0.02368,0.4
21,0.01184,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.01184,0.2
26,0.01184,0.2
27,0.00992,0.2
28,0.01184,0.0
29,0.0,0.0
30,0.04736,0.4
31,0.02368,0.2
32,0.01184,0.0
33,0.0,0.0
34,0.054079999999999996,0.2
35,0.01184,0.2
36,0.02368,0.2
37,0.01184,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.4
41,0.02368,0.4
42,0.0224,0.0
43,0.0,0.4
44,0.02368,0.4
45,0.01184,0.8
46,0.04736,1.6
47,0.09472,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.01184,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.6
55,0.035519999999999996,6.2
56,0.36191999999999996,0.4
57,0.02368,0.4
58,0.02368,0.2
59,0.01184,0.2
60,0.30784,0.0
61,0.0,0.0
62,0.01184,0.0
63,0.0,0.0
64,0.0,0.2
65,0.01184,0.6
66,0.03424,0.2
67,0.01184,0.2
68,0.01184,0.0
69,0.0,0.2
70,0.01184,0.6
71,0.03168,0.6
72,0.01056,0.2
73,0.01184,0.2
74,0.01056,0.0
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.01184,0.2
79,0.054720000000000005,0.2
80,0.01184,0.0
81,0.0,0.0
82,0.0,0.2
83,0.01184,0.0
84,0.0,0.0
85,0.01184,0.0
86,0.0,0.0
87,0.01248,0.2
88,0.00992,0.2
89,0.01184,0.4
90,0.02368,0.4
91,0.02368,0.0
92,0.0,0.0
93,0.04736,1.0
94,0.054079999999999996,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.2
99,0.01184,0.8
100,0.04736,0.8
101,0.02496,0.4
102,0.0,0.0
103,0.0,0.8
104,0.04736,0.8
105,0.01184,0.2
106,0.01248,0.2
107,0.01184,0.0
108,0.0,0.0
109,0.0,0.2
110,0.01184,0.0
111,0.0,0.0
112,0.0,0.0
113,0.0,0.0
114,0.0,0.0
115,0.0,0.0
116,0.054079999999999996,0.0
117,0.0,0.0
118,0.0,0.0
119,0.0,0.0
120,0.01184,0.0
121,0.0,0.0
122,0.01184,0.2
123,0.01184,0.0
124,0.0,0.0
125,0.0,0.0
126,0.0,0.0
127,0.01184,0.0
128,0.0,0.0
129,0.0592,1.0
130,0.0,0.0
131,0.0,0.0
132,0.0,0.4
133,0.02368,0.0
134,0.0,0.0
135,0.0,0.2
136,0.01184,0.2
137,0.01184,0.2
138,0.07904,0.4
139,0.0224,0.4
140,0.0224,0.0
141,0.0,0.0
142,0.0,0.0
143,0.0,0.0
144,0.0,0.0
145,0.01184,0.2
146,0.0,0.2
147,0.01184,0.4
148,0.01984,1.6
149,0.08512,3.4
150,0.20128,3.4
151,0.01184,0.2
152,0.00992,0.8
153,0.0416,0.8
154,0.0304,0.4
155,0.01984,0.2
156,0.01248,0.2
157,0.036160000000000005,0.0
158,0.0,0.0
159,0.00992,0.6
160,0.03168,0.0
161,0.0,0.0
162,0.0,0.0
163,0.07136,1.4
164,0.01184,0.2
165,0.01184,0.0
166,0.0,0.0
167,0.0,0.0
168,0.0096,0.4
169,0.021759999999999998,0.4
170,0.01952,0.2
171,0.00992,0.2
172,0.00992,0.4
173,0.021759999999999998,0.2
174,0.00992,0.2
175,0.00992,2.2
176,0.12512,2.2
177,0.01184,0.2
178,0.045439999999999994,0.2
179,0.01184,0.0
180,0.0,0.0
181,0.00992,0.0
182,0.0,0.0
183,0.021759999999999998,0.4
184,0.021759999999999998,0.4
185,0.00992,0.2
186,0.01184,0.2
187,0.00992,0.4
188,0.021759999999999998,0.2
189,0.00992,0.2
190,0.00992,1.2
191,0.06336,1.2
192,0.00992,1.8
193,0.0912,0.2
194,0.00992,0.0
195,0.0,0.0
196,0.00992,0.0
197,0.0,0.0
198,0.04224,0.8
199,0.00992,0.4
200,0.021759999999999998,0.4
201,0.10496,0.0
202,0.0,0.0
203,0.01184,2.0
